time,msg,codes,model,short_width,long_width,gap_limit,reset_limit,lengthBits,hex_data,binary_data,rowCount
@0.023157s,,,Unknown1,500.000,500.000,8000.000,10000.000,158,AAAAAAAAAAAAAAAA2DD4075B05012A00F57802D0,10101010101010101010101010101010101010101010101010101010101010100010110111010100000001110101101100000101000000010010101000000000111101010111100000000010110100,1
@0.023164s,,,Unknown1,500.000,500.000,8000.000,10000.000,158,AAAAAAAAAAAAAAAA2DD4075B05012A00F57802D0,10101010101010101010101010101010101010101010101010101010101010100010110111010100000001110101101100000101000000010010101000000000111101010111100000000010110100,1
@0.023158s,,,Unknown1,500.000,500.000,8000.000,10000.000,159,AAAAAAAAAAAAAAAA2DD4075B05012A00F67802D0,101010101010101010101010101010101010101010101010101010101010101000101101110101000000011101011011000001010000000100101010000000001111011001111000000000101101000,1
@0.023200s,,,Unknown1,500.000,500.000,8000.000,10000.000,157,AAAAAAAAAAAAAAAA2DD4EEA005010A00EF7800D0,1010101010101010101010101010101010101010101010101010101010101010001011011101010011101110101000000000010100000001000010100000000011101111011110000000000011010,1
@0.023173s,,,Unknown1,500.000,500.000,8000.000,10000.000,159,AAAAAAAAAAAAAAAA2DD4075B05012A00F67802D0,101010101010101010101010101010101010101010101010101010101010101000101101110101000000011101011011000001010000000100101010000000001111011001111000000000101101000,1
@0.023164s,,,Unknown1,500.000,500.000,8000.000,10000.000,159,AAAAAAAAAAAAAAAA2DD4075B05012A00F67802D0,101010101010101010101010101010101010101010101010101010101010101000101101110101000000011101011011000001010000000100101010000000001111011001111000000000101101000,1
@0.033358s,,,Unknown1,500.000,500.000,8000.000,10000.000,159,AAAAAAAAAAAAAAAA2DD4075B05012A00F67802D0,101010101010101010101010101010101010101010101010101010101010101000101101110101000000011101011011000001010000000100101010000000001111011001111000000000101101000,1
@0.023241s,,,Unknown1,500.000,500.000,8000.000,10000.000,162,AAAAAAAAAAAAAAAA2DD4075B050095007B3C016880,101010101010101010101010101010101010101010101010101010101010101000101101110101000000011101011011000001010000000010010101000000000111101100111100000000010110100010,1
@0.029170s,,,Unknown1,500.000,500.000,8000.000,10000.000,158,AAAAAAAAAAAAAAAA2DD4DCCC0501320100780088,10101010101010101010101010101010101010101010101010101010101010100010110111010100110111001100110000000101000000010011001000000001000000000111100000000000100010,1
@0.229877s,,,Unknown1,500.000,500.000,8000.000,10000.000,119,AAAAAAAAAAAAAAAA2DD4075A050094,10101010101010101010101010101010101010101010101010101010101010100010110111010100000001110101101000000101000000001001010,1
